"c_ClaveUnidad","Nombre","Descripción","Nota","Fecha de inicio de vigencia","Fecha de fin de vigencia","Símbolo"
18.,"Tambor de cincuenta y cinco galones (EUA)","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
19.,"Camión cisterna","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
26.,"Tonelada real","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
29.,"Libra por mil pies cuadrados","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","Lb / kft²"
30.,"Día de potencia de caballos por tonelada métrica de aire seco","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
31.,"Pescar","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
32.,"Kilogramo por tonelada métrica seca del aire","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
36.,"Pie cúbico por minuto por pie cuadrado","Se requiere factor de conversión","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","Ft³ / (min / ft²)"
44.,"Bolsa a granel de quinientos kilos","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
45.,"Bolsa a granel de trescientos kilos","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
46.,"Bolsa a granel de cincuenta libras","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
47.,"Bolso de cincuenta libras","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
48.,"Carga masiva","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
53.,"Kilogramo teórico","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
54.,"Tonelada teórica (UK)","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
62.,"Por ciento por 1000 horas","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
63.,"Tasa de fracaso en el tiempo","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
64.,"Libra por pulgada cuadrada, calíbre","","Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
66.,"Oersted","","Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","Oe"
69.,"Escala específica de prueba","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
71.,"Voltios amperios por libra","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
72.,"Vatio por libra","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
73.,"Amperios por centímetro","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
76.,"Gauss","","Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","Gs"
78.,"Kilogauss","","Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","Ks"
84.,"Kilopound-force por pulgada cuadrada","Unidad de presión que define el número de kilopounds fuerza por pulgada cuadrada. 

Utilice kip por pulgada cuadrada (código común N20).","Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","Klbf / in²"
90.,"Saybold segundo universal","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
92.,"Calorías por centímetro cúbico","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
93.,"Calorías por gramo","Utilice calorías de la tabla internacional (IT) por gramo (código común D75).","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","Cal / g"
94.,"Unidad de curl","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
95.,"Veinte mil galones","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
96.,"Diez mil galones (US)","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
97.,"Diez kilos de tambor","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
98.,"Quince kilos de tambor","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"05","Ascensor","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"06","Pequeño aerosol","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"08","Montón de calor","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"10","Grupos","Una unidad de conteo que define el número de grupos (grupo: conjunto de elementos clasificados juntos).","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"11","Equipos"," Unidad de recuento que define el número de equipos (equipo: un conjunto completo de equipo / materiales / objetos utilizados para un propósito específico).","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"13","Raciones","Una unidad de recuento para definir el número de raciones (ración: una sola porción de las disposiciones).","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"14","Shot","Unidad de medida para liquidos.","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"15","Palo, medida militar.","Unidad para el momento de rotación relacionado con la longitud según el sistema de unidades Anglo-Americanas e Imperial.","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"16","Tambor de 115 kilogramos","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"17","Tambor de cien libras","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"1A","Milla de carros","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"1B","Recuento de automóviles","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"1C","Conteo de locomotoras","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"1D","Caboose count","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"1E","Coche vacío","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"1F","Milla de tren","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"1G","Galón del uso del combustible (los EUA)","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"1H","Milla de caboose","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"1I"," Tipo de interés fijo"," Unidad de cantidad expresada como una tasa predeterminada o conjunto para el uso de una instalación o servicio.","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"1J","Tonelada milla","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"1K","Milla locomotora","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"1L","Recuento total de automóviles","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"1M","Milla total del coche","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"1X","Cuarto de milla","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"20"," Contenedores de veinte pies"," Unidad de conteo que define el número de contenedores de transporte que miden 20 pies de longitud.","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"21"," Contenedor de cuarenta pies"," Unidad de conteo que define el número de contenedores de transporte que miden 40 pies de longitud.","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"22","Decilitro por gramo","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","dl/g"
"23","Gramo por centímetro cúbico","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","g/cm³"
"24","Libra teórica"," Unidad de masa que define la masa esperada de material expresado como el número de libras.","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"25","Gramo por centímetro cuadrado","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","g/cm²"
"27","Tonelada teórica","Unidad de masa que define la masa esperada de material, expresada como el número de toneladas.","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"28","Kilogramo por metro cuadrado","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","kg/m²"
"2A","Radián por segundo","Es la velocidad de un cuerpo que, con una rotación uniforme alrededor de un eje fijo, gira en 1 segundo, 1 radián. ","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","rad/s"
"2B","Radián por segundo cuadrado","Es la aceleración angular de un cuerpo animado de una rotación uniformemente variada alrededor de un eje fijo, cuya velocidad angular, varía 1 radián por segundo, en 1 segundo. ","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","rad/s²"
"2C","Roentgen","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","R"
"2G","Voltios CA"," Una unidad de potencial eléctrico en relación a la corriente alterna (CA).","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","V"
"2H","Voltios CD","Unidad de potencial eléctrico en relación con corriente directa (CD).","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","V"
"2I","Unidad térmica británica (tabla internacional) por hora","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","BtuIT/h"
"2J","Centímetro cúbico por segundo","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","cm³/s"
"2K","Pie cúbico por hora","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","ft³/h"
"2L","Pie cúbico por minuto","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","ft³/min"
"2M","Centímetro por segundo","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","cm/s"
"2N","Decibel","Medida de sonoridad o sensación sonora que es igual a la décima parte de un bel.","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","dB"
"2P","Kilobyte"," Unidad de información igual a 10 ³  (1000) bytes.","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","kbyte"
"2Q","Kilobecquerel","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","kBq"
"2R","Kilocurie","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","kCi"
"2U","Megagramo","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","Mg"
"2V","Megagrama por hora","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","Mg / h"
"2X","Metro por minuto","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","m/min"
"2Y","Milliroentgen","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","mR"
"2Z","Milivoltio","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","mV"
"33","Kilopascal por grtr","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","kPa·m²/g"
"34","Kilopascal por milimetro","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","kPa/mm"
"35","Milimetro por un segundo centimetro cuadrado","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","ml/(cm²·s)"
"37","Onza por pie cuadrado","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","oz/ft²"
"38","Onzas por pie cuadrado por 0,01 pulgadas","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","oz/(ft²/cin)"
"3B","Megajoule","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","MJ"
"3C","Manmonth","Unidad de cuenta que define el número de meses que una persona o personas pueden desempeñar alguna actividad.","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"3E","Libra por libra de producto","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"3G","Libra por pieza de producto","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"3H","Kilogramo por kilogramo de producto","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"3I","Kilogramo por pedazo de producto","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"40","Mililitro por segundo","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","ml/s"
"41","Mililitro por minuto","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","ml/min"
"4B","Gorra","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"4C","Centistokes","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","cSt"
"4E","Veinte pack","","Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.","DateObject[{2017, 8, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"4G","Microlitro","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","µl"
"4H","Micra","El micrómetro, micrón o micra es una unidad de longitud equivalente a una milésima parte de un milímetro.","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","µm"
"4K","Miliamperio","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","mA"
"4L","Megabyte","Unidad que se usa para cuantificar un caudal de datos equivalente a 1000 kb/s.","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","Mbyte"
"4M","Miligramo por hora","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","mg/h"
"4N","Megabequerel","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","MBq"
"4O","Microfaradio","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","µF"
"4P","Newton por metro","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","N/m"
"4Q","Onza pulgada","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","oz·in"
"4R","Onza pie","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","oz·ft"
"4T","Picofaradio","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","pF"
"4U","Libra por hora","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","lb/h"
"4W","Tonelada (EUA) por hora","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","ton (US) /h"
"4X","Kilolitro por hora","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","kl/h"
"56","Sitas"," Unidad de área de placa de estaño igual a un área de superficie de 100 metros cuadrados.","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"57","Malla","Una unidad de recuento de definir el número de hebras por pulgada como una medida de la finura de un producto tejido.","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"58"," kilogramo neto","Unidad de masa que define el número total de kilogramos después de las deducciones.","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
"59","Parte por millón"," Una unidad de proporción igual a 10⁻⁶.","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","ppm"
"5A","Barril por minuto","","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","","barrel (US)/min"
"5B","Batch","Unidad de conteo que define el número de lotes (lote: cantidad de material producido en una operación o número de animales o personas que vienen a la vez).","","DateObject[{2017, 1, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", -6.]","",""
